,Time,Mkt-RF,SMB,HML,RMW,CMA,RF
91,197102,1.41,2.04,-1.23,0.62,-0.7,0.33
92,197103,4.13,2.26,-3.95,1.82,-2.71,0.3
93,197104,3.15,-0.36,0.69,-1.47,0.87,0.28
94,197105,-3.98,-1.11,-1.44,1.4,0.25,0.29
95,197106,-0.1,-1.48,-1.87,1.53,-1.64,0.37
96,197107,-4.5,-1.39,0.02,0.64,1.46,0.4
97,197108,3.79,-0.16,2.63,-0.43,2.64,0.47
98,197109,-0.85,0.28,-2.91,2.56,-1.58,0.37
99,197110,-4.42,-1.6,-0.48,1.62,-1.35,0.37
100,197111,-0.46,-2.86,-1.68,2.44,-0.34,0.37
101,197112,8.71,3.27,-0.4,-0.4,-1.75,0.37
102,197201,2.49,6.1,2.24,-1.69,0.55,0.29
103,197202,2.87,0.87,-2.79,1.61,-0.52,0.25
104,197203,0.63,-0.43,-1.61,1.63,-0.18,0.27
105,197204,0.29,0.23,0.12,-0.42,-1.03,0.29
106,197205,1.25,-3.1,-2.7,2.34,-1.95,0.3
107,197206,-2.43,-0.43,-2.48,1.88,-0.36,0.29
108,197207,-0.8,-2.77,0.66,1.14,-0.66,0.31
109,197208,3.26,-3.48,4.54,-1.96,2.85,0.29
110,197209,-1.14,-2.23,0.46,1.68,-1.97,0.34
111,197210,0.52,-2.54,1.34,-0.15,0.02,0.4
112,197211,4.6,-0.62,4.85,-1.95,3.37,0.37
113,197212,0.62,-1.89,-2.19,2.6,-2.16,0.37
114,197301,-3.29,-2.81,2.68,0.42,0.9,0.44
115,197302,-4.85,-3.91,1.6,-0.26,0.02,0.41
116,197303,-1.3,-2.33,2.62,-1.07,0.62,0.46
117,197304,-5.68,-2.9,5.41,-1.58,2.6,0.52
118,197305,-2.94,-6.17,0.41,1.95,-1.57,0.51
119,197306,-1.57,-2.48,1.2,-0.21,0.11,0.51
120,197307,5.05,7.26,-5.31,-0.05,-3.28,0.64
121,197308,-3.82,-1.84,1.24,-1.31,1.3,0.7
122,197309,4.75,3.6,2.01,-2.33,1.77,0.68
123,197310,-0.83,-0.38,1.94,-1.9,2.71,0.65
124,197311,-12.75,-7.28,3.87,-2.63,1.73,0.56
125,197312,0.61,-4.69,3.85,-2.78,2.48,0.64
126,197401,-0.17,10.41,6.02,-3.07,4.42,0.63
127,197402,-0.47,0.06,2.81,-1.87,2.63,0.58
128,197403,-2.81,2.65,-0.32,2.8,0.44,0.56
129,197404,-5.29,-0.7,0.85,2.87,2.09,0.75
130,197405,-4.68,-3.07,-2.02,4.95,-0.42,0.75
131,197406,-2.83,0.0,0.77,0.57,2.94,0.6
132,197407,-8.05,1.92,5.16,-3.25,4.6,0.7
133,197408,-9.35,0.26,2.64,-0.28,2.59,0.6
134,197409,-11.77,1.48,5.58,-4.44,5.91,0.81
135,197410,16.1,-6.82,-9.87,-0.21,-2.86,0.51
136,197411,-4.51,-1.48,-0.2,-3.37,2.92,0.54
137,197412,-3.45,-4.35,0.11,-0.68,3.25,0.7
138,197501,13.66,12.91,8.28,-0.78,-0.9,0.58
139,197502,5.56,-0.65,-4.44,1.16,-2.1,0.43
140,197503,2.66,4.0,2.38,1.26,-1.33,0.41
141,197504,4.23,-0.71,-1.14,1.41,-1.34,0.44
142,197505,5.19,2.89,-4.1,-0.98,-0.6,0.44
143,197506,4.83,1.43,1.38,-2.66,1.06,0.41
144,197507,-6.59,3.44,1.69,0.46,1.22,0.48
145,197508,-2.85,-2.84,-0.95,1.11,-0.93,0.48
146,197509,-4.26,0.05,0.39,0.53,0.55,0.53
147,197510,5.31,-4.23,0.28,-0.49,2.26,0.56
148,197511,2.64,-1.09,2.03,-0.68,1.75,0.41
149,197512,-1.6,-0.05,1.69,-0.09,0.57,0.48
