Date,Open,High,Low,Close,Adj Close,Volume
2000-06-01,56.812500,58.515625,54.812500,54.812500,32.163532,352800
2000-07-01,54.375000,56.140625,54.109375,54.734375,32.157291,365200
2000-08-01,54.765625,58.125000,54.765625,58.000000,34.075920,776900
2000-09-01,57.937500,58.968750,55.812500,58.031250,34.094269,672000
2000-10-01,57.906250,59.593750,54.000000,59.531250,35.091274,1376800
2000-11-01,59.421875,59.453125,56.546875,57.281250,33.765007,1973100
2000-12-01,57.468750,60.437500,56.671875,60.015625,35.376808,3015900
2001-01-01,59.687500,60.500000,58.062500,60.049999,35.509117,2671900
2001-02-01,60.119999,60.740002,56.869999,58.430000,34.551170,1026100
2001-03-01,57.990002,59.959999,51.700001,56.099998,33.173382,2637100
2001-04-01,56.160000,60.000000,53.869999,58.950001,34.961349,4643600
2001-05-01,58.950001,61.619999,58.320000,60.250000,35.732327,3086400
2001-06-01,60.040001,61.130001,57.759998,58.619999,34.765633,1330500
2001-07-01,58.730000,59.330002,56.509998,58.740002,34.936993,2484700
2001-08-01,58.790001,59.250000,55.810001,56.320000,33.497627,1415400
2001-09-01,56.240002,57.279999,47.299999,52.049999,30.957960,1642900
2001-10-01,52.000000,54.200001,51.220001,51.660000,30.725983,4445600
2001-11-01,51.799999,55.570000,51.250000,54.549999,32.620373,6402900
2001-12-01,54.360001,56.180000,53.439999,55.400002,33.128647,4401000
2002-01-01,55.630001,56.939999,53.099998,55.070000,33.076569,5372200
2002-02-01,55.200001,55.730000,52.549999,55.349998,33.244751,2013000
2002-03-01,55.529999,58.549999,55.349998,57.770000,34.698269,2712800
2002-04-01,57.419998,57.750000,54.919998,55.630001,33.527248,3046600
2002-05-01,55.700001,57.160000,55.029999,55.650002,33.539291,4144700
2002-06-01,55.820000,56.150002,50.480000,52.200001,31.460052,7440000
2002-07-01,52.450001,52.689999,40.279999,47.630001,28.830898,9133100
2002-08-01,47.200001,50.020000,43.599998,47.799999,28.933805,5090600
2002-09-01,46.950001,48.099998,41.450001,42.320000,25.616707,5047300
2002-10-01,42.779999,46.500000,39.000000,45.590000,27.747032,7877300
2002-11-01,45.400002,48.619999,44.540001,48.500000,29.518106,7159000
2002-12-01,49.080002,49.180000,45.290001,45.860001,27.911350,10855800
2003-01-01,46.509998,48.869999,43.869999,44.720001,27.394707,10109200
2003-02-01,44.770000,45.259998,42.090000,43.750000,26.800499,3497400
2003-03-01,43.799999,45.750000,40.520000,43.400002,26.586092,5558100
2003-04-01,43.720001,47.509998,43.570000,47.209999,29.074093,4427600
2003-05-01,47.250000,50.500000,46.500000,50.369999,31.020166,8079900
2003-06-01,50.799999,52.810001,50.500000,50.570000,31.143341,5388900
2003-07-01,50.540001,52.669998,50.009998,51.430000,31.828217,6380000
2003-08-01,51.459999,52.580002,49.900002,52.180000,32.292362,3875100
2003-09-01,52.459999,53.360001,51.009998,51.410000,31.815847,7121500
2003-10-01,51.750000,54.700001,51.619999,54.660000,34.004177,8609100
2003-11-01,54.599998,55.419998,53.700001,55.250000,34.371231,5630600
2003-12-01,55.580002,58.509998,55.369999,58.369999,36.312180,8168900
2004-01-01,58.500000,60.599998,58.000000,59.369999,37.356419,8517600
2004-02-01,59.330002,60.959999,58.750000,60.639999,38.155525,8682900
2004-03-01,60.900002,61.759998,58.000000,59.910000,37.696198,11545500
2004-04-01,59.980000,60.750000,58.200001,58.230000,36.815800,11451000
2004-05-01,58.470001,59.430000,56.180000,58.799999,37.176193,10483200
2004-06-01,58.919998,60.459999,58.590000,60.060001,37.972816,12228800
2004-07-01,59.910000,60.099998,57.919998,59.299999,37.668262,9716800
2004-08-01,59.020000,60.029999,57.340000,60.029999,38.131992,8286000
2004-09-01,60.040001,61.580002,59.790001,60.560001,38.468651,10448900
2004-10-01,60.799999,62.080002,59.520000,61.490002,39.261395,8761900
2004-11-01,61.660000,65.279999,61.400002,64.599998,41.247124,10433400
2004-12-01,64.900002,66.800003,64.290001,66.370003,42.377281,16508700
2005-01-01,66.589996,66.660004,64.150002,65.209999,41.901958,14738300
2005-02-01,65.330002,67.800003,65.250000,67.440002,43.334873,12991900
2005-03-01,67.540001,68.809998,64.690002,65.809998,42.287491,14715600
2005-04-01,66.320000,66.669998,63.410000,64.669998,41.888756,12016600
2005-05-01,64.900002,66.620003,63.490002,66.209999,42.886250,11882500
2005-06-01,66.209999,68.419998,66.209999,66.639999,43.164780,15073100
2005-07-01,66.980003,69.269997,66.309998,68.699997,44.683731,13053600
2005-08-01,68.860001,69.320000,67.040001,68.360001,44.462601,14541600
2005-09-01,68.449997,69.849998,67.720001,68.839996,44.774784,13758400
2005-10-01,69.000000,69.139999,64.629997,66.830002,43.739464,15435500
2005-11-01,67.080002,70.559998,66.830002,69.379997,45.408409,14566400
2005-12-01,69.750000,70.930000,67.570000,69.029999,45.179344,28641700
2006-01-01,69.599998,72.199997,69.209999,71.599998,47.173042,22931500
2006-02-01,71.879997,73.199997,70.500000,72.330002,47.653988,13126800
2006-03-01,72.510002,74.180000,71.519997,73.110001,48.167892,17259800
2006-04-01,73.160004,74.930000,72.400002,74.779999,49.533871,13563700
2006-05-01,75.059998,75.900002,71.169998,72.959999,48.328335,12209100
2006-06-01,72.849998,74.150002,69.730003,72.940002,48.315071,19889600
2006-07-01,73.250000,74.940002,71.250000,74.690002,49.735420,17104800
2006-08-01,74.550003,76.199997,73.989998,75.820000,50.487862,22048400
2006-09-01,76.180000,77.279999,75.080002,77.070000,51.320236,18793000
2006-10-01,77.199997,80.230003,76.680000,79.449997,53.185524,18531000
2006-11-01,79.629997,81.610001,78.709999,81.309998,54.430649,21710800
2006-12-01,81.360001,83.459999,80.629997,82.699997,55.361126,20988200
2007-01-01,82.879997,83.830002,81.260002,83.660004,56.353592,23558100
2007-02-01,83.860001,85.959999,80.980003,82.410004,55.511600,20601100
2007-03-01,81.550003,84.370003,79.629997,83.139999,56.003315,22426700
2007-04-01,83.230003,87.150002,82.800003,86.209999,58.387600,16359700
2007-05-01,86.389999,89.720001,85.839996,89.279999,60.466808,21057700
2007-06-01,89.500000,89.860001,85.849998,86.750000,58.753326,29130600
2007-07-01,87.410004,89.510002,82.389999,82.430000,56.123322,34782000
2007-08-01,82.580002,85.449997,77.879997,83.660004,56.960796,43894000
2007-09-01,83.440002,87.830002,81.589996,85.949997,58.519962,28847200
2007-10-01,86.059998,88.690002,82.919998,86.050003,58.945957,33396100
2007-11-01,84.820000,84.900002,77.190002,81.900002,56.103127,41152400
2007-12-01,81.989998,84.589996,79.120003,80.250000,54.972839,60105000
2008-01-01,80.620003,80.760002,55.380001,77.010002,53.068924,77436900
2008-02-01,77.410004,78.410004,73.430000,74.019997,51.008438,50685800
2008-03-01,73.919998,75.250000,68.809998,73.449997,50.615688,57055000
2008-04-01,74.160004,77.629997,73.019997,76.510002,53.074200,35977100
2008-05-01,76.339996,79.190002,75.209999,76.320000,52.942402,34625000
2008-06-01,76.220001,76.349998,68.629997,69.050003,47.899277,40525200
2008-07-01,68.370003,70.230003,63.250000,68.309998,47.385933,63364000
2008-08-01,68.779999,71.099998,67.269997,69.449997,48.531311,31624900
2008-09-01,70.370003,70.870003,60.619999,63.889999,44.646004,62805900
2008-10-01,63.529999,64.430000,44.389999,53.040001,37.309090,108494200
