Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,19.309999,21.000000,19.110001,21.000000,8.451277,0
1985-02-01,20.879999,21.500000,20.879999,21.290001,8.567973,0
1985-03-01,21.530001,21.530001,20.780001,21.110001,8.495539,0
1985-04-01,21.190001,21.459999,20.820000,21.049999,8.544075,0
1985-05-01,20.889999,22.320000,20.889999,22.320000,9.059554,0
1985-06-01,22.320000,22.580000,21.860001,22.459999,9.116380,0
1985-07-01,22.540001,22.940001,22.250000,22.410000,9.169187,0
1985-08-01,22.549999,22.549999,21.910000,22.260000,9.107807,0
1985-09-01,22.180000,22.230000,21.379999,21.379999,8.747747,0
1985-10-01,21.740000,22.350000,21.370001,22.320000,9.209602,0
1985-11-01,22.520000,23.910000,22.500000,23.870001,9.849163,0
1985-12-01,23.680000,25.040001,22.809999,22.990000,9.486057,0
1986-01-01,22.799999,23.280001,22.170000,23.090000,9.673105,0
1986-02-01,23.330000,24.840000,23.240000,24.840000,10.406239,0
1986-03-01,24.680000,26.020000,24.570000,26.020000,10.900576,0
1986-04-01,25.610001,26.670000,24.910000,25.670000,10.828859,0
1986-05-01,25.639999,27.129999,25.450001,27.070000,11.419450,0
1986-06-01,26.830000,27.340000,26.270000,27.340000,11.533345,0
1986-07-01,27.469999,27.549999,25.469999,25.770000,10.943249,0
1986-08-01,25.639999,27.730000,25.639999,27.690001,11.758576,0
1986-09-01,27.209999,27.799999,25.209999,25.209999,10.705451,0
1986-10-01,25.459999,26.629999,25.459999,26.629999,11.389701,0
1986-11-01,26.840000,27.309999,25.940001,27.309999,11.680554,0
1986-12-01,27.299999,27.850000,24.270000,24.270000,10.380333,0
1987-01-01,24.709999,27.620001,24.709999,27.490000,11.923261,0
1987-02-01,27.730000,28.709999,27.650000,28.580000,12.396031,0
1987-03-01,28.480000,30.379999,28.480000,29.219999,12.673615,0
1987-04-01,29.290001,30.260000,27.990000,28.930000,12.622775,0
1987-05-01,28.900000,29.670000,28.000000,29.230000,12.753673,0
1987-06-01,29.209999,31.250000,29.070000,30.520000,13.316525,0
1987-07-01,30.410000,32.020000,30.410000,32.020000,14.052573,0
1987-08-01,31.920000,33.930000,31.799999,33.250000,14.592385,0
1987-09-01,32.599998,32.630001,31.330000,32.310001,14.179852,0
1987-10-01,32.869999,32.950001,22.580000,25.290001,11.161152,0
1987-11-01,25.700001,25.700001,23.219999,23.219999,10.247607,0
1987-12-01,23.410000,25.570000,22.590000,24.650000,10.878704,0
1988-01-01,25.530001,25.860001,24.049999,25.490000,11.396351,0
1988-02-01,25.299999,26.660000,24.760000,26.660000,12.008819,0
1988-03-01,26.620001,27.040001,25.590000,25.670000,11.562878,0
1988-04-01,25.400000,26.940001,25.400000,25.930000,11.762176,0
1988-05-01,25.959999,26.139999,24.990000,26.139999,11.857448,0
1988-06-01,26.600000,27.520000,26.459999,27.150000,12.315592,0
1988-07-01,26.980000,27.400000,26.100000,27.049999,12.352947,0
1988-08-01,27.070000,27.170000,25.650000,26.129999,11.932814,0
